id,link,title,requirements,level,type,support,participate
1,https://base.garant.ru/12188234/,Сельскохозяйственное страхование с государственной поддержкой,Программа страхования урожая,Федеральная мера,Льготное страхование,"Мультириск Правила страхования (стандартные) урожая сельскохозяйственных культур, посадок многолетних насаждений, осуществляемого с государственной поддержкой. – Страховая сумма: от 70 до 100% от страховой стоимости – Размер безусловной франшизы: от 10 до 50% от страховой суммы ЧС Правила страхования (стандартные) урожая сельскохозяйственных культур, просадок многолетних насаждений, осуществляемого государственной поддержкой, случай чрезвычайных ситуаций природного характера. – Страховая сумма от 35 до 50% от страховой стоимости – Размер безусловной франшизы от 10 до 20% от страховой суммы Дата заключения – не позднее 15 календарных дней с даты окончания сева сельскохозяйственных культур; для многолетних насаждений договор заключается до момента прекращения вегетации (перехода в состояние зимнего покоя)","Программа ""Мультириск"": Для всех сельскохозяйственных товаропроизводителей: – до 50% от начисленной страховой премии Программа ""ЧС"" Для субъектов малого предпринимательства: – с 1 июля 2021 г. по 30 июня 2023г. – до 80% от начисленной страховой премии Для иных субъектов предпринимательства: – с 1 июля 2023 года – до 70% от начисленной страховой премии"
2,https://www.consultant.ru/document/cons_doc_LAW_28165/c8ebcedc9ddce9d959d6c520c3b0d602f71e8e12/,Льгота по НДС для отечественного программного обеспечения (ПО),"Освобождение от НДС программ, включенных в реестр «Отечественного ПО»",Федеральная мера,Налоговые льготы,0,0
3,https://www.consultant.ru/document/cons_doc_LAW_28165/eb9180fc785448d58fe76ef323fb67d1832b9363/,Льгота по налогу на прибыль и страховым взносам для ИТ-компаний,"Пониженные ставки налога на прибыль и страховых взносов для российских организаций, осуществляющих деятельность в области информационных технологий",Федеральная мера,Налоговые льготы,0,0
4,http://publication.pravo.gov.ru/Document/View/0001202203260011,0% НДС для гостинично-туристического бизнеса,Для юридических лиц и индивидуальных предпринимателей,Федеральная мера,Налоговые льготы,0,0
5,https://base.garant.ru/72237252/,Гранты на ИТ-проекты для российских компаний,Грантовая поддержка от Фонда содействия развитию малых форм предприятий в научно-технической сфере (Фонд содействия инновациям),Федеральная мера,Субсидии и гранты,0,0
6,https://sberfactoring.ru/stocks/subsidirovanie/?utm_source=sber_gos-program,Программа льготного факторинга города Москвы,Для субъектов малого и среднего предпринимательства,Региональная мера,Льготный факторинг,Льготное финансирование в течение 1 года,Портфель не более 100 млн рублей
7,https://www.consultant.ru/document/cons_doc_LAW_28165/eb9180fc785448d58fe76ef323fb67d1832b9363/,Налоговые льготы для региональных инвестиционных проектов г. Москвы,"Для организаций, зарегистрированных и осуществляющих производство на территории г. Москвы",Региональная мера,Налоговые льготы,0,0
8,https://mbm.mos.ru/article/mery-podderzhki-malogo-biznesa-ot-a-do-ya_7904083?utm_source=partners&utm_medium=kross&utm_campaign=sber_constructor,Комплексная поддержка бизнеса в Москве,Для юридических лиц и индивидуальных предпринимателей,Региональная мера,Развитие,0,0
9,https://i.moscow/urban/grant100?utm_source=sberbank&utm_medium=site&utm_campaign=grant100,Грант на сезонное или тематическое оформление нежилого объекта,Программа поддержки бизнеса от Правительства Москвы,Региональная мера,Субсидии и гранты,"Компенсации подлежат затраты, осуществленные не ранее 1 января 2024 года по следующим категориям: – услуги по разработке проекта оформления объекта – работы по доставке, установке и монтажу оформления – приобретение оборудования, прав на использование программного обеспечения и материалов","Нежилой объект, в котором расположены предприятия торговли, общественного питания, сферы услуг или гостиница Расположение объекта в Москве на первом этаже многоквартирных домов, нежилых зданий, сооружений Оформленные элементы нежилых объектов непосредственно выходят минимум на один из элементов улично-дорожной сети Соответствие оформления текущему сезону, тематическому событию или тематике организации Гармоничное сочетание элементов оформления"
10,https://xn--90aifd0az.xn--80aeaffd7aflilc4aj.xn--p1ai/?utm_source=sberbusiness&utm_medium=free-partner&utm_campaign=gos_podderzhka&utm_content=banner_30-05-2023,Программа поддержки локальных брендов «Сделано в Москве»,Для московских компаний и ИП,Региональная мера,Развитие,"Онлайн – размещение карточки бренда и карточек товаров/услуг в онлайн шоуруме «Сделано в Москве» https://сделановмоскве.рф/ – продвижение в digital – помощь в продвижении на крупнейших маркетплейсах – медиаподдержка – создание фото и видео контента Офлайн – участие в мероприятиях различных форматов (фестивали, ярмарки, форумы и т.д.) – размещение товаров в собственных магазинах «Сделано в Москве»",Заявка на участие принимается в электронном виде на https://бизнес.сделановмоскве.рф/
