id,text,date,title,subtitle,class,category,requirements,participate,level,gov
gov_01,"В 2024 году продолжается обучение безработных граждан и работников, находящихся под риском увольнения по востребованным на локальным рынкам труда профессиям.  Стать участником проекта также могут: – участники СВО и члены семей участников СВО, погибших при выполнении задач в ходе боевых действий – отдельные категории молодежи до 35 лет – граждане, находящиеся в отпуске по уходу за ребенком до 3 лет;",Действует  ,Бесплатное обучение по востребованным специальностям,"Для безработных, находящихся под риском увольнения, участников СВО и членов семей погибших",People,Social,"Гражданин заключает трехсторонний договор с образовательной организацией и работодателем (или службой занятости, если безработный).","Подать  заявку  на портале «Работа России», а также пройти профориентацию, чтобы определить подходящую сферу деятельности, подобрать соответствующую программу обучения.",Федеральный,0
gov_02,"Сотрудники IT-компаний, аккредитованных Минцифры России, получающих налоговые льготы и имеющих регистрацию в любом е страны, за исключением Москвы и Санкт-Петербурга, могут оформить льготную ипотеку с процентной ставкой до 6% годовых. Ставка может быть дополнительно снижена по альной программе или банком. Минимальный первоначальный взнос от 20%. Размер льготного кредита может составить до 9 млн рублей.  Оформить ИТ-ипотеку можно на покупку как строящегося, так и готового жилья на первичном рынке недвижимости, а также на индивидуальное жилищное строительство.",Действует  ,Льготная ипотека для IT-специалистов,Льготная ипотека по ставке до 6%,People,Finance,"Зарплата до 150 тыс. руб. (мегаполисы) или до 90 тыс. руб. (другие регионы). Условия: работа в аккредитованной IT-компании, возможность учета зарплаты по совместительству. Льгота сохраняется 6 месяцев после увольнения.","Льготные кредиты по программе выдают свыше 50 кредитных организаций, с полным перечнем можно ознакомиться на информационных ресурсах оператора программы – «ДОМ.РФ».",Федеральный,/news/52278/; http://government.ru/news/51261/; http://government.ru/docs/49395/; http://government.ru/news/47650/; http://government.ru/docs/45926/; http://government.ru/docs/45334/; http://government.ru/docs/45030/; http://kremlin.ru/acts/news/67893
gov_03,"Специалисты компаний, работающих в области информационных технологий, могут получить отсрочку от армии. Речь идёт о молодых людях до 30 лет, которые имеют высшее образование и работают в аккредитованных IT-компаниях не менее 11 месяцев. Действие правил получения отсрочки распространяется и на специалистов со стажем менее 11 месяцев, но при условии, что они устроились на работу в аккредитованную компанию в течение года после окончания обучения в вузе или научной организации. Постановлением Правительства также утверждён   вузовских специальностей и направлений подготовки, которые позволяют претендовать на отсрочку. В их числе математика, прикладная информатика, картография и геоинформатика, радиотехника, электроника и наноэлектроника, робототехника, авиастроение, кораблестроение и другие – всего более 60 направлений.",Действует  ,Отсрочка от армии для IT-специалистов,Отсрочка от службы в армии для специалистов IT-компаний,People,Social,"Мужчины 18–30 лет, работающие по трудовому договору с высшим образованием в IT-специальности. Не менее 11 месяцев работы в аккредитованной IT-компании (дата аккредитации до 10.02.2024). При меньшем стаже — трудоустройство в течение года после выпуска.","Сотрудники аккредитованных IT-компаний с 22 января могут воспользоваться специальным сервисом портала госуслуг и подать заявки на отсрочку от срочной службы в армии в рамках весеннего призыва. Успеть подать заявления нужно до 6 февраля включительно. Ранее поданное в 2023 году заявление не позволит получить отсрочку от срочной службы этой весной. Его нужно подать заново. Заполняя форму, необходимо указать следующие данные: • ФИО • дату и место рождения • СНИЛС • место жительства • наименование вуза и дату выпуска • серию и номер диплома • специальность • стаж работы в аккредитованных компаниях • военный комиссариат, в котором сотрудник состоит на учёте Работодатель увидит заявки сотрудников  в своём личном кабинете на портале. Если сотрудник не имеет личного кабинета или не отправит свои данные, то организация сможет внести его в список самостоятельно Компании до 10 февраля необходимо будет проверить данные сотрудников, подтвердить их и отправить списки в Минцифры через портал госуслуг. От одной организации может быть несколько списков Минцифры передаст списки в Минобороны до 2 марта. Во время весеннего призыва с 1 апреля по 15 июля призывная комиссия проверит документы для предоставления отсрочки. Если сотрудник получит повестку на срочную службу, он должен будет явиться в военкомат, чтобы подтвердить право на отсрочку. В таком случае при себе нужно будет иметь: • паспорт • документ воинского учета (приписное свидетельство) • водительское удостоверение (при наличии) • оригинал диплома о высшем образовании по специальности из  перечня • оригиналы справок с мест работы в аккредитованных IT-организациях за период с 1 апреля 2023 года по 31 марта 2024 года.",Региональный,0
gov_04,"Совет Евразийской экономической комиссии по инициативе Российской Федерации повысил порог беспошлинного ввоза товаров, приобретаемых физическими лицами в иностранных интернет-магазинах повышен с 200 евро до 1 тысячи евро.   Требования к весу посылки остаются прежними – не больше 31 кг.",Истёк  ,Повышение порога беспошлинного ввоза посылок,В ЕАЭС порог беспошлинного ввоза посылок для физических лиц повышен до 1000 евро,People,Finance,Покупка товаров на зарубежных маркетплейсах до 1000 евро.,Автоматически при совершении покупки.,Федеральный,https://docs.eaeunion.org/docs/ru-ru/01136458/err_30092022_151_doc.pdf; https://docs.eaeunion.org/docs/ru-ru/01431507/err_21032022_35
gov_05,"Воспользоваться услугами центров занятости теперь смогут не только безработные граждане, но и те, кто находится под риском увольнения, переведён работодателем на неполный рабочий день или отправлен в неоплачиваемый отпуск. Такие граждане смогут рассчитывать на проактивную помощь центров занятости, чтобы сориентироваться на рынке труда, поддержать или повысить свой доход. В частности, им будет оказана помощь как с временным трудоустройством, так и с открытием собственного дела, включая финансовую поддержку при государственной регистрации в качестве индивидуального предпринимателя, создаваемой организации или фермерского хозяйства. Также эти граждане могут быть направлены на переобучение.",Истёк  ,Помощь в поиске работы,Центры занятости помогут при риске увольнения,People,Social,Обратиться в службу занятости региона.,0,Федеральный,http://government.ru/docs/46615/; http://government.ru/news/44837/
gov_06,"Семейная ипотека по ставке 6% на покупку квартиры в новостройке или строительство индивидуального жилого дома распространяется на семьи с детьми, где есть хотя бы один ребенок в возрасте до шести лет (включительно). Ставка по программе составит 6% в том числе и для жителей Дальнего Востока. Суммы кредитов для жителей Москвы и Московской области, а также жителей Санкт-Петербурга и Ленинградской области - 12 млн руб., для жителей других ов - 6 млн руб.  Также семейную ипотеку на новостройки могут получить: - семьи, имеющие двух несовершеннолетних детей и проживающие в малых городах численностью до 50 тыс. человек, за исключением территорий Московской и Ленинградской областей; - семьи с двумя несовершеннолетними детьми независимо от их возраста могут купить жилье на территориях малых городов и отдельных ов. В этот список вошли 35 ов:  Еврейская автономная область;  Чукотский автономный округ;  Ненецкий автономный округ;  Мурманская область;  Республика Ингушетия;  Республика Коми;  Новгородская область;  Республика Дагестан;  Белгородская область;  Саратовская область;  Республика Алтай;  город Севастополь;  Кемеровская область — Кузбасс;  Республика Мордовия;  Республика Калмыкия;  Курская область;  Забайкальский край;  Томская область;  Костромская область;  Омская область;  Оренбургская область;  Карачаево-Черкесская Республика;  Алтайский край;  Тамбовская область;  Чеченская Республика;  Магаданская область;  Кировская область;  Нижегородская область;  Псковская область;  Республика Марий Эл;  Курганская область;  Республика Хакасия;  Республика Тыва;  Чувашская Республика;  Республика Адыгея.",Действует  ,Семейная ипотека,Льготная ипотека по ставке 6%,People,Finance,"Льготная ипотека для граждан РФ с детьми (до 6 лет, двое несовершеннолетних, или ребенок-инвалид). Первый взнос — 20%.","Обратиться в кредитную или иную организацию, участвующую в программе субсидирования. с полным перечнем можно ознакомиться на информационных ресурсах оператора программы – «ДОМ.РФ».",Региональный,https://minfin.gov.ru/ru/perfomance/govsupport/semya/npa?id_65=308075-reshenie_ot_28.06.2024__24-67381-01460-r_o_poryadke_predostavleniya_subsidii; http://government.ru/news/47458/; http://government.ru/docs/46789/; http://government.ru/docs/45793/; http://government.ru/docs/45720/; http://government.ru/docs/45328/; http://government.ru/docs/44983/
gov_07,"Правительство обеспечит возможность возврата гражданам стоимости билетов на рейсы, которые были отменены из-за внешних ограничений, а также из-за закрытия аэропортов на юге и в центральной части России. На эти цели выделено 19,5 млрд рублей. Субсидии помогут авиакомпаниям вернуть пассажирам денежные средства не менее, чем за 1 млн билетов. Господдержка позволит перевозчикам сберечь собственные оборотные средства, а значит, они будут иметь финансовые ресурсы для обеспечения безопасности полётов и поддержания лётной годности воздушных судов.",Действует  ,Возврат денег за авиабилеты на отменённые рейсы,"Возврат денег пассажирам авиакомпаний, отменивших рейсы из-за внешних ограничений и закрытия аэропортов",People,Finance,Ограничения на работу аэропортов в 11 городах. Билет можно переоформить или вернуть через авиакомпанию.,Обратиться напрямую в авиакомпанию. Подробная  памятка на сайте Росавиации .,Федеральный,0
gov_08,"Работники компаний, которые приостановили свою деятельность, могут быть временно переведены к другому работодателю, не прерывая своего основного трудового договора. Для перевода к другому работодателю потребуется письменное согласие работника на поступившее предложение от центра занятости населения. Временные работодатели будут заключать с гражданами срочный трудовой договор с возможностью его продления по соглашению сторон не позднее чем до 31 декабря 2022 года при наличии согласия работодателя, с которым первоначально заключен трудовой договор. После расторжения срочного трудового договора работник сможет вернуться на прежнее место. Предложенный механизм не меняет действующие правила предоставления отпусков и трудовых гарантий. При этом предприятия за организацию временной занятости получают компенсацию (один минимальный размер оплаты труда с учётом районного коэффициента и страховых взносов на одного работника) в течение трёх месяцев. Для системообразующих организаций федерального уровня этот период увеличен до шести месяцев.",Истёк  ,Временное трудоустройство работников приостановивших работу предприятий,0,People,Social,"Для временного перевода работника к другому работодателю необходимо согласие текущего работодателя, центра занятости и самого работника.","1. Компании, которые приостановили свою деятельность, информируют об этом центры занятости.  2. Центры занятости подбирают для работников приостановивших свою деятельность компаний подходящие вакансии (на основании информации от других работодателей о потребности в работниках соответствующего профиля), направляют работникам предложения о временном переводе к другому работодателю и извещают об этом основного работодателя.  3. Работник при согласии с предложением может заключить срочный трудовой договор с временным работодателем с согласия основного работодателя, при этом действие основного трудового договора приостанавливается.",Федеральный,http://government.ru/docs/46615/; http://government.ru/docs/46098/; http://government.ru/docs/45043/; http://gov.garant.ru/document?id=403622612&byPara=1
gov_09,"Садоводы, огородники и граждане, ведущие личное подсобное хозяйство, смогут выкупить ранее предоставленные им в аренду государственные или муниципальные земельные участки без проведения аукциона. Сделка состоится при условии, что органы земельного надзора не выявили никаких нарушений в обращении с землёй.     Это существенно упростит жизнь граждан, которые имели участки, находящиеся на государственных или муниципальных землях.",Действует  ,Выкуп земельных участков без аукциона,Упрощение процедуры предоставления гражданам земельных участков,People,Regulation,0,0,Федеральный,0
gov_10,"Российские школьники, которые обучаются за границей и не смогут пройти государственную итоговую аттестацию по образовательным программам основного общего и среднего общего образования (ГИА-9, ГИА-11) из-за организационных сложностей, вызванных действиями недружественных иностранных государств, в 2024 году, как и двумя годами ранее,  получат документ об образовании на основе промежуточной аттестации. Речь идёт о выпускниках, которые находятся за границей и обучаются в школах, расположенных на территории России, дистанционно или находятся на семейном обучении, а также на учеников, которые приехали в Россию и были приняты на обучение в российские школы.  Особенности сдачи итоговых экзаменов в 2024 году для выпускников из Донецкой и Луганской народных республик, Запорожской и Херсонской областей, а также для выпускников отдельных школ из приграничных ов определены приказами Минпросвещения и Рособрнадзора.",Действует  ,ГИА для российских школьников за рубежом,В 2024 году возможно получение аттестата на основании промежуточной аттестации,People,Social,"Подать заявление в школу, выполнить учебный план и сдать итоговое собеседование (ГИА-9) или сочинение (ГИА-11). Возможно дистанционное участие.","Результаты промежуточной аттестации признаются результатами ГИА-9/ГИА-11 и являются основанием для выдачи аттестата за 9/11 класс путем выставления по всем учебным предметам итоговых отметок по результатам промежуточной аттестации или определяемых как среднее арифметическое четвертных (триместровых) отметок за 9 класс (для ГИА-9)/полугодовых (четвертных, триместровых) и годовых отметок за каждый год обучения по указанной программе (для ГИА-11) (при наличии).",Региональный,0
